Spanish,Portuguese
de,de
que,que
no,não
a,a
la,a
el,o
y,e
es,é
en,em
lo,o
un,um
por,por
qué,por que
me,me
una,uma
los,os
se,se
te,te
con,com
para,para
está,está
mi,meu/minha
pero,mas
sí,sim
si,se
bien,bem
eso,isso
su,seu/sua
las,as
yo,eu
del,do
como,como
aquí,aqui
tu,teu/tua
al,ao
más,mais
le,lhe
esto,isto
todo,tudo
ya,já
estoy,estou
ahora,agora
muy,muito
ha,há
esta,esta
así,assim
vamos,vamos
algo,algo
hay,há
bueno,bom
tengo,tenho
él,ele
cuando,quando
estás,estás
sé,sei
tú,tu
nos,nos
nada,nada
cómo,como
este,este
o,ou
he,eu fiz
ser,ser
tiene,tem
puedo,posso
ella,ela
quiero,quero
hacer,fazer
fue,foi
gracias,obrigado/obrigada
vez,vez
era,era
soy,sou
sólo,só
todos,todos
porque,porque
son,são
tienes,tens
creo,acredito
voy,vou
sabes,sabes
estaba,estava
puede,pode
eres,és
ese,esse
usted,você
entonces,então
hola,olá
solo,só
verdad,verdade
casa,casa
tan,tão
quién,quem
sus,seus/suas
tiempo,tempo
dos,dois
esa,essa
nunca,nunca
dónde,onde
va,vai
oh,oh
favor,favor
mucho,muito
mí,mim
quieres,queres
siento,sinto
señor,senhor
mejor,melhor
hace,faz
has,tens feito
decir,dizer
también,também
sobre,sobre